Alternative,Expression,Filter,Coefficient,Description
knr_bus,DropoffTransitSkim.[Cost - Bus DropOff],Tours.INCOME = 4,-0.000967,Fare - KNR Bus: Income 4
knr_bus,Tours.INCOME <= 2,,2.65,Low Income Dummy - KNR Bus
knr_bus,TAZ.AType.D = 1,,1.22,CBD Destination - KNR Bus
knr_prem,Constant,,-0.687,KNR Premium ASC
knr_prem,DropoffTransitSkim.[IVTT - Prem DropOff] - 0.3*DropoffTransitSkim.[Prem IVTT],,-0.0304,Discounted IVTT - KNR Premium
knr_prem,DropoffTransitSkim.[Drive Access Time - Prem DropOff],,-0.0304,Access Drive Time - KNR Premium
knr_prem,DropoffTransitSkim.[Initial Wait - Prem DropOff],,-0.0456,Initial Wait - KNR Premium
knr_prem,DropoffTransitSkim.[Transfer Wait Time - Prem DropOff],,-0.0608,Transfer Wait - KNR Premium
knr_prem,DropoffTransitSkim.[Transfer Penalty Time - Prem DropOff],,-0.0304,Transfer Penalty - KNR Premium
knr_prem,DropoffTransitSkim.[Cost - Prem DropOff],Tours.INCOME = 1,-0.004537,Fare - KNR Premium: Income 1
knr_prem,DropoffTransitSkim.[Cost - Prem DropOff],Tours.INCOME = 2,-0.002277,Fare - KNR Premium: Income 2
knr_prem,DropoffTransitSkim.[Cost - Prem DropOff],Tours.INCOME = 3,-0.001229,Fare - KNR Premium: Income 3
knr_prem,DropoffTransitSkim.[Cost - Prem DropOff],Tours.INCOME = 4,-0.000967,Fare - KNR Premium: Income 4
knr_prem,Tours.INCOME <= 2,,2.65,Low Income Dummy - KNR Premium
knr_prem,TAZ.AType.D = 1,,1.22,CBD Destination - KNR Premium
sov,Constant,,0.046223,Additional Calibration Constant
pool2,Constant,,0.00298,Additional Calibration Constant
pool3,Constant,,-0.079019,Additional Calibration Constant
walk,Constant,,0.413995,Additional Calibration Constant
bike,Constant,,-0.637944,Additional Calibration Constant
w_bus,Constant,,-0.991207,Additional Calibration Constant
w_prem,Constant,,-1.067882,Additional Calibration Constant
pnr_bus,Constant,,-1.367767,Additional Calibration Constant
pnr_prem,Constant,,-0.701319,Additional Calibration Constant
knr_bus,Constant,,-2.418987,Additional Calibration Constant
knr_prem,Constant,,-0.935192,Additional Calibration Constant
tnc,Constant,,-1.452497,Additional Calibration Constant
