Alternative,Expression,Filter,Coefficient,Description
knr_bus,DropoffTransitSkim.[Transfer Wait Time - Bus DropOff],,-0.042,Transfer Wait - KNR Bus
knr_bus,DropoffTransitSkim.[Transfer Penalty Time - Bus DropOff],,-0.021,Transfer Penalty - KNR Bus
knr_bus,DropoffTransitSkim.[Cost - Bus DropOff],Tours.INCOME = 1,-0.003134,Fare - KNR Bus: Income 1
knr_bus,DropoffTransitSkim.[Cost - Bus DropOff],Tours.INCOME = 2,-0.001573,Fare - KNR Bus: Income 2
knr_bus,DropoffTransitSkim.[Cost - Bus DropOff],Tours.INCOME = 3,-0.000849,Fare - KNR Bus: Income 3
knr_bus,DropoffTransitSkim.[Cost - Bus DropOff],Tours.INCOME = 4,-0.000668,Fare - KNR Bus: Income 4
knr_bus,Tours.INCOME <= 2,,1.03,Low Income Dummy - KNR Bus
knr_bus,TAZ.AType.D = 1,,1.73,CBD Destination - KNR Bus
knr_prem,Constant,,-2.08,KNR Premium ASC
knr_prem,DropoffTransitSkim.[IVTT - Prem DropOff] - 0.3*DropoffTransitSkim.[Prem IVTT],,-0.021,Discounted IVTT - KNR Premium
knr_prem,DropoffTransitSkim.[Drive Access Time - Prem DropOff],,-0.021,Access Drive Time - KNR Premium
knr_prem,DropoffTransitSkim.[Initial Wait - Prem DropOff],,-0.0315,Initial Wait - KNR Premium
knr_prem,DropoffTransitSkim.[Transfer Wait Time - Prem DropOff],,-0.042,Transfer Wait - KNR Premium
knr_prem,DropoffTransitSkim.[Transfer Penalty Time - Prem DropOff],,-0.021,Transfer Penalty - KNR Premium
knr_prem,DropoffTransitSkim.[Cost - Prem DropOff],Tours.INCOME = 1,-0.003134,Fare - KNR Premium: Income 1
knr_prem,DropoffTransitSkim.[Cost - Prem DropOff],Tours.INCOME = 2,-0.001573,Fare - KNR Premium: Income 2
knr_prem,DropoffTransitSkim.[Cost - Prem DropOff],Tours.INCOME = 3,-0.000849,Fare - KNR Premium: Income 3
knr_prem,DropoffTransitSkim.[Cost - Prem DropOff],Tours.INCOME = 4,-0.000668,Fare - KNR Premium: Income 4
knr_prem,Tours.INCOME <= 2,,1.03,Low Income Dummy - KNR Premium
knr_prem,TAZ.AType.D = 1,,1.73,CBD Destination - KNR Premium
sov,Constant,,0.199,Additional Calibration Constant
pool2,Constant,,-0.4303,Additional Calibration Constant
pool3,Constant,,-0.6541,Additional Calibration Constant
walk,Constant,,0.6686,Additional Calibration Constant
bike,Constant,,-1.8372,Additional Calibration Constant
w_bus,Constant,,-0.7514,Additional Calibration Constant
w_prem,Constant,,-1.4134,Additional Calibration Constant
pnr_bus,Constant,,-0.6,Additional Calibration Constant
pnr_prem,Constant,,-1.7807,Additional Calibration Constant
knr_bus,Constant,,-1.0624,Additional Calibration Constant
knr_prem,Constant,,-1.535,Additional Calibration Constant
tnc,Constant,,-1.2682,Additional Calibration Constant
